Rank,Team Name,Win,Loss,Pts,Years in NBA,Draw,Win Rate(%)
1,Golden State Warriors,2503,1749,454659,50,0,58.87
2,New York Knicks,2231,2252,454954,52,0,49.77
3,Los Angeles Lakers,2154,2595,507183,52,0,45.36
4,Milwaukee Bucks,2039,2447,468246,52,0,45.45
5,Denver Nuggets,1928,1900,410711,45,0,50.37
6,Boston Celtics,1643,3031,490511,52,0,35.15
7,Chicago Bulls,1637,2888,459031,52,0,36.18
8,San Antonio Spurs,1565,2460,420180,45,0,38.88
9,Phoenix Suns,1556,2937,481755,52,0,34.63
10,Indiana Pacers,1464,2401,394597,45,0,37.88
11,Atlanta Hawks,1404,3039,454880,52,0,31.6
12,Houston Rockets,1397,2951,453157,50,0,32.13
13,Detroit Pistons,1383,3096,456391,52,0,30.88
14,Washington Bullets,1343,649,207596,23,0,67.42
15,Utah Jazz,1328,2334,375154,42,0,36.26
16,Philadelphia 76ers,1325,3180,464832,52,0,29.41
17,Portland Trail Blazers,1174,3217,460213,51,0,26.74
18,Washington Wizards,1079,894,197468,24,0,54.69
19,Seattle SuperSonics,1071,2312,353882,39,0,31.66
20,Los Angeles Clippers,950,2136,313028,37,0,30.78
21,Cleveland Cavaliers,917,3419,436618,51,0,21.15
22,Dallas Mavericks,882,2624,361758,41,0,25.16
23,Sacramento Kings,859,2101,304023,36,0,29.02
24,Toronto Raptors,780,1401,217892,26,0,35.76
25,New Jersey Nets,754,2185,294187,35,0,25.65
26,Minnesota Timberwolves,731,1869,258780,32,0,28.12
27,Memphis Grizzlies,688,1000,166613,20,0,40.76
28,Miami Heat,687,2201,283450,33,0,23.79
29,Oklahoma City Thunder,666,478,120747,13,0,58.22
30,Orlando Magic,624,2066,269686,32,0,23.2
31,Brooklyn Nets,503,261,80103,9,0,65.84
32,Charlotte Hornets,462,1257,175218,21,0,26.88
33,New Orleans Hornets,443,315,71478,9,0,58.44
34,Kansas City Kings,409,437,92209,10,0,48.35
35,New Orleans Pelicans,389,260,69915,8,0,59.94
36,Charlotte Bobcats,236,576,76768,10,0,29.06
37,Buffalo Braves,204,474,71793,8,0,30.09
38,San Diego Clippers,202,290,53711,6,0,41.06
39,Baltimore Bullets,158,206,40205,4,0,43.41
40,New Orleans Jazz,132,278,43136,5,0,32.2
41,Kansas City-Omaha Kings,110,142,26050,3,0,43.65
42,Vancouver Grizzlies,100,360,42265,6,0,21.74
43,Cincinnati Royals,97,149,27963,3,0,39.43
44,New Orleans/Oklahoma City Hornets,77,87,15444,2,0,46.95
45,San Francisco Warriors,54,115,18377,2,0,31.95
46,San Diego Rockets,54,110,19014,2,0,32.93
47,Capital Bullets,44,45,9019,1,0,49.44
48,New York Nets,32,50,7865,1,0,39.02
