Final Score Set,Total Count
"(99, 105)",91
"(101, 108)",91
"(98, 106)",84
"(100, 107)",83
"(94, 99)",78
"(97, 100)",78
"(98, 105)",77
"(103, 107)",77
"(101, 106)",77
"(95, 102)",76
"(100, 108)",76
"(96, 105)",75
"(100, 105)",75
"(103, 105)",75
"(100, 103)",75
"(99, 104)",74
"(103, 108)",74
"(102, 107)",74
"(96, 103)",73
"(98, 104)",73
"(98, 100)",73
"(94, 100)",73
"(100, 102)",72
"(103, 106)",72
"(96, 98)",72
"(102, 109)",71
"(98, 109)",71
"(106, 111)",71
"(104, 111)",70
"(106, 115)",70
"(94, 103)",70
"(96, 107)",70
"(96, 101)",69
"(97, 106)",69
"(100, 98)",68
"(101, 105)",68
"(100, 93)",68
"(96, 106)",67
"(96, 102)",67
"(103, 109)",67
"(97, 104)",67
"(99, 102)",67
"(105, 111)",67
"(93, 100)",67
"(102, 110)",67
"(97, 99)",67
"(97, 102)",67
"(91, 99)",66
"(97, 105)",66
"(106, 113)",66
"(104, 107)",65
"(95, 99)",65
"(95, 100)",65
"(101, 104)",65
"(101, 109)",65
"(97, 103)",65
"(93, 102)",65
"(104, 106)",65
"(98, 103)",64
"(94, 104)",64
"(93, 98)",64
"(105, 110)",64
"(94, 102)",64
"(109, 115)",64
"(105, 100)",64
"(92, 97)",64
"(99, 108)",64
"(104, 101)",64
"(103, 112)",64
"(109, 114)",64
"(102, 106)",63
"(95, 104)",63
"(89, 96)",63
"(104, 96)",63
"(103, 101)",63
"(99, 106)",63
"(100, 104)",63
"(100, 109)",63
"(99, 109)",63
"(99, 110)",63
"(98, 102)",63
"(102, 96)",62
"(96, 104)",62
"(105, 108)",62
"(105, 107)",62
"(99, 101)",62
"(101, 107)",62
"(92, 100)",62
"(100, 106)",62
"(103, 110)",62
"(97, 107)",62
"(102, 105)",62
"(106, 114)",61
"(99, 107)",61
"(106, 112)",61
"(104, 108)",61
"(104, 112)",61
"(103, 99)",61
"(101, 99)",61
"(104, 98)",61
"(101, 110)",61
"(102, 108)",60
"(98, 101)",60
"(106, 110)",60
"(99, 103)",60
"(107, 110)",60
"(94, 98)",59
"(93, 101)",59
"(106, 104)",59
"(98, 107)",59
"(98, 111)",59
"(107, 109)",59
"(95, 101)",59
"(104, 109)",59
"(107, 113)",59
"(102, 104)",59
"(91, 100)",59
"(105, 109)",58
"(87, 97)",58
"(88, 95)",58
"(106, 102)",58
"(102, 111)",58
"(98, 99)",58
"(103, 96)",58
"(90, 99)",58
"(89, 102)",58
"(103, 111)",58
"(89, 101)",57
"(104, 102)",57
"(92, 99)",57
"(98, 93)",57
"(93, 104)",57
"(111, 116)",57
"(103, 113)",57
"(97, 101)",57
"(107, 114)",57
"(107, 102)",57
"(94, 101)",57
"(95, 108)",57
"(96, 100)",57
"(105, 115)",57
"(95, 103)",57
"(94, 96)",57
"(105, 112)",57
"(105, 113)",57
"(99, 94)",56
"(106, 101)",56
"(91, 96)",56
"(107, 111)",56
"(92, 101)",56
"(95, 105)",56
"(106, 103)",56
"(90, 97)",55
"(99, 112)",55
"(98, 108)",55
"(100, 110)",55
"(108, 112)",55
"(91, 97)",55
"(98, 97)",55
"(108, 115)",55
"(102, 98)",55
"(92, 103)",55
"(108, 101)",55
"(105, 103)",54
"(95, 92)",54
"(104, 99)",54
"(91, 101)",54
"(101, 103)",54
"(106, 109)",54
"(91, 98)",54
"(99, 96)",54
"(112, 108)",54
"(86, 96)",54
"(93, 97)",54
"(93, 99)",54
"(105, 96)",54
"(106, 99)",54
"(110, 106)",54
"(102, 112)",54
"(97, 108)",54
"(104, 110)",54
"(97, 91)",53
"(107, 115)",53
"(92, 104)",53
"(102, 100)",53
"(111, 118)",53
"(103, 100)",53
"(110, 108)",53
"(108, 103)",53
"(107, 104)",53
"(109, 102)",52
"(112, 106)",52
"(107, 117)",52
"(102, 99)",52
"(91, 103)",52
"(96, 108)",52
"(105, 97)",52
"(96, 99)",52
"(95, 109)",52
"(108, 102)",52
"(102, 94)",52
"(94, 105)",52
"(93, 95)",52
"(110, 113)",52
"(89, 99)",52
"(90, 101)",51
"(91, 94)",51
"(101, 112)",51
"(101, 96)",51
"(108, 116)",51
"(95, 97)",51
"(100, 112)",51
"(102, 95)",51
"(111, 103)",51
"(86, 99)",51
"(111, 107)",51
"(101, 113)",51
"(102, 97)",51
"(112, 110)",51
"(99, 111)",51
"(92, 95)",51
"(105, 99)",51
"(99, 93)",51
"(105, 95)",51
"(88, 96)",51
"(96, 94)",51
"(106, 105)",51
"(104, 97)",51
"(104, 113)",51
"(108, 111)",50
"(103, 95)",50
"(104, 95)",50
"(107, 101)",50
"(103, 94)",50
"(106, 100)",50
"(101, 94)",50
"(106, 98)",50
"(108, 104)",50
"(97, 95)",50
"(102, 103)",50
"(101, 111)",50
"(92, 102)",50
"(87, 95)",50
"(92, 98)",50
"(95, 106)",50
"(94, 106)",50
"(107, 105)",50
"(107, 112)",50
"(100, 94)",50
"(102, 101)",50
"(86, 95)",49
"(109, 111)",49
"(110, 102)",49
"(96, 112)",49
"(105, 102)",49
"(111, 104)",49
"(111, 105)",49
"(107, 98)",49
"(109, 100)",49
"(112, 115)",49
"(104, 103)",49
"(109, 103)",49
"(92, 90)",49
"(100, 99)",49
"(93, 94)",49
"(109, 113)",48
"(107, 103)",48
"(108, 100)",48
"(101, 102)",48
"(101, 97)",48
"(108, 114)",48
"(93, 96)",48
"(109, 106)",48
"(93, 103)",48
"(100, 113)",48
"(113, 117)",48
"(103, 114)",48
"(99, 97)",48
"(99, 95)",48
"(90, 100)",48
"(106, 116)",48
"(111, 117)",48
"(91, 95)",47
"(108, 106)",47
"(114, 112)",47
"(91, 102)",47
"(109, 118)",47
"(113, 107)",47
"(101, 95)",47
"(87, 96)",47
"(94, 107)",47
"(93, 89)",47
"(110, 118)",47
"(105, 101)",47
"(111, 106)",47
"(105, 98)",47
"(113, 109)",47
"(97, 93)",46
"(102, 114)",46
"(97, 109)",46
"(108, 119)",46
"(98, 91)",46
"(106, 108)",46
"(92, 109)",46
"(90, 102)",46
"(102, 115)",46
"(109, 104)",46
"(104, 117)",46
"(105, 106)",46
"(94, 109)",45
"(102, 113)",45
"(104, 115)",45
"(112, 117)",45
"(85, 96)",45
"(108, 109)",45
"(89, 94)",45
"(105, 116)",45
"(95, 98)",45
"(89, 103)",45
"(111, 115)",45
"(95, 90)",45
"(90, 98)",45
"(110, 103)",45
"(96, 91)",45
"(108, 97)",45
"(101, 98)",45
"(94, 92)",45
"(98, 96)",45
"(114, 106)",45
"(110, 107)",45
"(104, 116)",45
"(89, 95)",44
"(103, 92)",44
"(105, 114)",44
"(104, 114)",44
"(107, 99)",44
"(110, 115)",44
"(90, 105)",44
"(115, 107)",44
"(94, 90)",44
"(98, 110)",44
"(112, 109)",44
"(93, 108)",44
"(110, 116)",44
"(101, 114)",44
"(113, 111)",44
"(109, 112)",44
"(109, 99)",44
"(114, 119)",44
"(94, 95)",44
"(98, 95)",44
"(86, 100)",43
"(93, 105)",43
"(89, 98)",43
"(103, 104)",43
"(85, 93)",43
"(108, 110)",43
"(114, 107)",43
"(90, 93)",43
"(109, 116)",43
"(109, 105)",43
"(88, 101)",43
"(112, 116)",43
"(95, 110)",43
"(96, 95)",43
"(90, 104)",43
"(102, 93)",43
"(99, 98)",42
"(113, 106)",42
"(99, 92)",42
"(100, 97)",42
"(91, 105)",42
"(100, 95)",42
"(107, 119)",42
"(107, 100)",42
"(97, 98)",42
"(99, 100)",42
"(97, 111)",42
"(110, 112)",42
"(95, 93)",42
"(90, 103)",42
"(109, 119)",42
"(88, 99)",42
"(115, 120)",42
"(117, 109)",42
"(103, 98)",42
"(91, 93)",42
"(104, 118)",42
"(110, 114)",42
"(96, 110)",42
"(100, 115)",42
"(106, 97)",42
"(111, 109)",42
"(114, 110)",41
"(113, 120)",41
"(113, 108)",41
"(104, 100)",41
"(85, 94)",41
"(114, 111)",41
"(109, 98)",41
"(107, 97)",41
"(92, 96)",41
"(87, 94)",41
"(100, 111)",41
"(101, 91)",41
"(99, 115)",41
"(112, 107)",41
"(107, 106)",41
"(91, 106)",41
"(108, 99)",41
"(110, 121)",40
"(98, 92)",40
"(97, 92)",40
"(88, 97)",40
"(108, 105)",40
"(93, 106)",40
"(110, 105)",40
"(102, 92)",40
"(103, 97)",40
"(91, 92)",40
"(103, 93)",40
"(109, 101)",40
"(106, 107)",40
"(112, 103)",40
"(99, 90)",40
"(107, 108)",40
"(112, 104)",40
"(100, 101)",40
"(99, 91)",40
"(88, 92)",40
"(98, 113)",40
"(109, 107)",39
"(86, 93)",39
"(108, 118)",39
"(96, 111)",39
"(117, 110)",39
"(102, 91)",39
"(106, 120)",39
"(95, 89)",39
"(112, 105)",39
"(88, 104)",39
"(111, 119)",39
"(111, 110)",39
"(97, 96)",39
"(101, 92)",39
"(86, 98)",39
"(92, 105)",39
"(107, 96)",39
"(111, 113)",39
"(88, 98)",39
"(90, 96)",39
"(111, 114)",39
"(103, 116)",38
"(89, 93)",38
"(94, 110)",38
"(95, 88)",38
"(90, 92)",38
"(97, 112)",38
"(101, 93)",38
"(94, 97)",38
"(103, 117)",38
"(97, 110)",38
"(89, 104)",38
"(100, 92)",38
"(92, 106)",38
"(96, 93)",38
"(96, 92)",38
"(105, 117)",38
"(111, 108)",38
"(108, 113)",38
"(108, 117)",38
"(114, 121)",38
"(107, 116)",38
"(112, 121)",38
"(114, 108)",38
"(114, 105)",38
"(111, 112)",38
"(115, 119)",38
"(106, 96)",38
"(105, 118)",38
"(96, 115)",37
"(112, 120)",37
"(96, 97)",37
"(100, 118)",37
"(88, 94)",37
"(96, 113)",37
"(87, 89)",37
"(96, 109)",37
"(93, 110)",37
"(111, 100)",37
"(87, 93)",37
"(110, 117)",37
"(83, 93)",37
"(89, 100)",37
"(113, 103)",37
"(83, 95)",37
"(89, 97)",37
"(115, 111)",37
"(116, 111)",37
"(98, 94)",37
"(95, 94)",36
"(109, 108)",36
"(111, 120)",36
"(94, 108)",36
"(88, 90)",36
"(116, 109)",36
"(92, 94)",36
"(87, 102)",36
"(101, 118)",36
"(90, 94)",36
"(91, 104)",36
"(102, 119)",36
"(114, 109)",36
"(113, 100)",36
"(97, 94)",36
"(88, 100)",36
"(93, 107)",36
"(113, 119)",36
"(105, 92)",36
"(106, 117)",36
"(112, 111)",36
"(112, 102)",36
"(118, 110)",35
"(110, 104)",35
"(110, 100)",35
"(105, 104)",35
"(93, 92)",35
"(103, 102)",35
"(113, 105)",35
"(95, 96)",35
"(103, 91)",35
"(90, 88)",35
"(91, 107)",35
"(95, 107)",35
"(98, 114)",35
"(113, 115)",35
"(116, 108)",35
"(106, 118)",35
"(90, 95)",35
"(86, 88)",35
"(87, 98)",35
"(87, 99)",35
"(89, 105)",35
"(100, 91)",35
"(87, 92)",35
"(94, 88)",35
"(94, 89)",35
"(88, 91)",35
"(110, 119)",35
"(112, 118)",35
"(86, 97)",35
"(96, 89)",35
"(92, 87)",35
"(82, 94)",34
"(97, 88)",34
"(116, 110)",34
"(115, 122)",34
"(111, 102)",34
"(113, 102)",34
"(95, 112)",34
"(109, 117)",34
"(98, 87)",34
"(86, 102)",34
"(92, 88)",34
"(114, 122)",34
"(110, 101)",34
"(92, 107)",34
"(88, 93)",34
"(116, 122)",34
"(93, 90)",34
"(108, 94)",34
"(94, 86)",34
"(94, 91)",34
"(85, 101)",34
"(108, 98)",34
"(104, 105)",34
"(102, 118)",34
"(95, 111)",33
"(117, 115)",33
"(89, 92)",33
"(87, 104)",33
"(103, 118)",33
"(92, 108)",33
"(99, 113)",33
"(107, 118)",33
"(96, 87)",33
"(99, 116)",33
"(106, 94)",33
"(87, 100)",33
"(115, 108)",33
"(93, 109)",33
"(101, 100)",33
"(104, 119)",33
"(116, 120)",33
"(113, 104)",33
"(85, 90)",33
"(95, 86)",33
"(114, 120)",33
"(113, 118)",33
"(113, 116)",33
"(109, 120)",33
"(91, 108)",33
"(104, 94)",33
"(104, 93)",33
"(115, 113)",33
"(93, 91)",33
"(86, 94)",32
"(115, 123)",32
"(84, 98)",32
"(97, 89)",32
"(92, 86)",32
"(101, 90)",32
"(105, 122)",32
"(106, 95)",32
"(97, 113)",32
"(83, 96)",32
"(96, 88)",32
"(112, 100)",32
"(94, 111)",32
"(105, 120)",32
"(111, 101)",32
"(87, 103)",32
"(102, 116)",32
"(103, 115)",32
"(89, 91)",32
"(100, 114)",32
"(92, 89)",32
"(115, 117)",32
"(86, 90)",32
"(94, 112)",32
"(92, 111)",32
"(112, 119)",32
"(90, 106)",32
"(85, 98)",32
"(110, 109)",32
"(99, 114)",32
"(101, 120)",32
"(108, 107)",32
"(91, 88)",32
"(105, 94)",32
"(98, 112)",32
"(87, 91)",32
"(91, 109)",32
"(102, 117)",31
"(115, 110)",31
"(112, 114)",31
"(86, 92)",31
"(97, 90)",31
"(115, 105)",31
"(113, 110)",31
"(115, 104)",31
"(85, 92)",31
"(115, 118)",31
"(96, 90)",31
"(101, 116)",31
"(108, 120)",31
"(103, 90)",31
"(84, 93)",31
"(87, 106)",31
"(107, 122)",31
"(109, 94)",31
"(120, 114)",31
"(114, 116)",30
"(114, 117)",30
"(85, 88)",30
"(98, 88)",30
"(112, 122)",30
"(105, 121)",30
"(85, 99)",30
